Regione;e_12-19;e_20-29;e_30-39;e_40-49;e_50-59;e_60-69;e_70-79;over_80
Abruzzo;94727;125250;146849;187167;208460;171793;137406;116953
Basilicata;40947;56279;61083;74956;88130;75455;51805;46235
Calabria;147409;199803;223682;260183;287614;247847;185899;138517
Campania;506070;683444;712399;828154;890768;700326;477420;304317
Emilia-Romagna;327410;418908;487772;666592;718010;554256;455912;368307
Friuli-Venezia Giulia;85565;108120;121667;170111;199119;157635;140238;105679
Lazio;455838;586012;718718;939710;999269;748508;551447;412287
Liguria;104067;135518;149129;205203;259170;208682;182496;156276
Lombardia;794486;996669;1198043;1565664;1676127;1240919;1006561;765259
Marche;113059;142982;162295;221194;241288;197606;155940;133365
Molise;20497;29645;32454;40139;46725;41112;30901;27222
Provincia Autonoma Bolzano / Bozen;45547;59478;61568;72570;84564;59647;46417;30732
Provincia Autonoma Trento;44257;57191;59693;74716;85549;68045;52500;38400
Piemonte;310481;404647;451429;611076;702193;567486;484838;379802
Puglia;321188;429411;457845;584038;625760;509301;395276;272957
Sardegna;109403;144966;180420;248523;271162;230031;175751;124768
Sicilia;406593;544333;583641;694451;755527;631055;476607;342909
Toscana;270353;338932;397729;546375;604919;478539;406475;326067
Umbria;63610;78314;92176;123733;136338;112657;97653;85981
Valle d'Aosta/Vallée d'Aoste;9350;11468;12507;17341;20747;16124;12973;9556
Veneto;381274;479001;524904;724657;821263;622746;494444;358540
Italia;4652131;6030371;6836003;8856553;9722702;7639770;6018959;4544129
